model,seed,test_loss,test_acc,final_train_loss,final_train_acc,final_val_loss,final_val_acc
ViT,0,0.6309451460838318,0.644,0.6049781517376975,0.672,0.6404336281120777,0.604
ViT,1,0.6283678226172924,0.672,0.5280583013617803,0.7285,0.5937932170927525,0.672
ViT,2,0.6339037455618382,0.644,0.5348451265266964,0.7145,0.6194116659462452,0.68
ViT,3,0.5908166412264109,0.688,0.5200496462602464,0.7375,0.6172725893557072,0.672
ViT,4,0.6047081835567951,0.662,0.5219089999085381,0.726,0.6230119951069355,0.654
