model,seed,epoch,train_loss,train_acc,val_loss,val_acc
ViT,0,30,0.691114294150519,0.535,0.6917211711406708,0.518
ViT,0,31,0.6911547174529423,0.5355,0.6917054876685143,0.516
ViT,0,32,0.6901531181638203,0.5355,0.6911784745752811,0.518
ViT,0,33,0.6893999832017081,0.5345,0.6908623650670052,0.516
ViT,0,34,0.6894291516334291,0.5365,0.6907580345869064,0.518
ViT,0,35,0.6896065085653275,0.5365,0.6907631121575832,0.518
ViT,0,36,0.6891208697879125,0.5365,0.6905146576464176,0.518
ViT,0,37,0.687658671348814,0.535,0.6897444240748882,0.518
ViT,0,38,0.6868409012991284,0.5365,0.6891598515212536,0.518
ViT,0,39,0.6863441902493673,0.537,0.6888434551656246,0.518
ViT,0,40,0.6841067378483121,0.582,0.6871739365160465,0.564
ViT,0,41,0.6806071315492902,0.5895,0.685423269867897,0.564
ViT,0,42,0.6787478791342841,0.5725,0.6843992210924625,0.554
ViT,0,43,0.6750847914862255,0.5945,0.6821205206215382,0.566
ViT,0,44,0.668992763473874,0.6005,0.6777291260659695,0.564
ViT,0,45,0.6657456292046441,0.605,0.6763040460646152,0.58
ViT,0,46,0.6616602445405627,0.606,0.6742343306541443,0.578
ViT,0,47,0.6573466185539488,0.606,0.6712471880018711,0.57
ViT,0,48,0.6520078522818429,0.6165,0.6698058173060417,0.58
ViT,0,49,0.6486408133355398,0.619,0.6686213687062263,0.598
ViT,0,50,0.6445797047917805,0.6195,0.6668035089969635,0.588
ViT,0,51,0.6470085600065807,0.63,0.6668677590787411,0.586
ViT,0,52,0.6421660024022299,0.6295,0.6641114205121994,0.59
ViT,0,53,0.6410648397036961,0.6365,0.6661132425069809,0.598
ViT,0,54,0.6411651448597984,0.627,0.6637762188911438,0.584
ViT,0,55,0.6424351523792933,0.641,0.6653551012277603,0.594
ViT,0,56,0.6391947023452275,0.643,0.666035570204258,0.588
ViT,0,57,0.6363876093001593,0.639,0.6634922176599503,0.59
ViT,0,58,0.6363230025957501,0.6425,0.6619097888469696,0.586
ViT,0,59,0.6341711755782838,0.6455,0.6609698459506035,0.59
ViT,0,60,0.6344268908576359,0.6425,0.660441804677248,0.586
ViT,0,61,0.6325139024901012,0.645,0.6601241230964661,0.602
ViT,0,62,0.6310102788228837,0.649,0.6590024456381798,0.608
ViT,0,63,0.6284830456688291,0.6505,0.657300490885973,0.604
ViT,0,64,0.6276178378907461,0.6485,0.6581830158829689,0.61
ViT,0,65,0.6266689716823517,0.652,0.6545259803533554,0.608
ViT,0,66,0.6259163892458356,0.655,0.6543179228901863,0.61
ViT,0,67,0.6250115046425472,0.651,0.6557248309254646,0.61
ViT,0,68,0.623183202175867,0.6545,0.6532776020467281,0.612
ViT,0,69,0.6234439800656031,0.653,0.6530280597507954,0.606
ViT,0,70,0.6218569723386613,0.6565,0.6535150110721588,0.61
ViT,0,71,0.6229019732702346,0.655,0.6523363143205643,0.614
ViT,0,72,0.6227848312211415,0.658,0.652672354131937,0.614
ViT,0,73,0.622045808368259,0.6585,0.6516905948519707,0.612
ViT,0,74,0.6199809880483718,0.658,0.6508757248520851,0.608
ViT,0,75,0.6199555028052557,0.6595,0.650397889316082,0.61
ViT,0,76,0.6194015192607093,0.657,0.6511017978191376,0.604
ViT,0,77,0.620586129408034,0.6615,0.648495476692915,0.614
ViT,0,78,0.6181023962913997,0.656,0.6497288458049297,0.614
ViT,0,79,0.6177144939937289,0.6575,0.6495828442275524,0.616
ViT,0,80,0.6178894165962462,0.662,0.6491150669753551,0.616
ViT,0,81,0.617100096884228,0.662,0.6486096754670143,0.614
ViT,0,82,0.6178478220152477,0.664,0.6488849632441998,0.608
ViT,0,83,0.6176080911878555,0.6645,0.6476675420999527,0.618
ViT,0,84,0.6165607486452375,0.665,0.6475087627768517,0.618
ViT,0,85,0.6157995150202796,0.661,0.6474302485585213,0.618
ViT,0,86,0.6157937778366936,0.666,0.6474175415933132,0.618
ViT,0,87,0.614442419438135,0.664,0.6475434936583042,0.618
ViT,0,88,0.6136090954144796,0.666,0.6474465131759644,0.62
ViT,0,89,0.612872754770612,0.6655,0.6476496867835522,0.614
ViT,0,90,0.6123589816547576,0.6645,0.6461320780217648,0.618
ViT,0,91,0.6132553503626869,0.667,0.645503357052803,0.612
ViT,0,92,0.6125596657631889,0.666,0.6450777873396873,0.608
ViT,0,93,0.6128373675876193,0.6675,0.6439906507730484,0.61
ViT,0,94,0.6121701825232733,0.6675,0.6442930772900581,0.614
ViT,0,95,0.6121285699662709,0.6675,0.6430990360677242,0.612
ViT,0,96,0.6116081618127369,0.6685,0.6428917795419693,0.612
ViT,0,97,0.6103538691051422,0.669,0.6432358473539352,0.614
ViT,0,98,0.6109345299857003,0.6665,0.6432147324085236,0.614
ViT,0,99,0.6095802206841726,0.6715,0.6433098278939724,0.612
ViT,0,100,0.6101990711121332,0.669,0.6429295986890793,0.614
ViT,0,101,0.6098190262204125,0.6695,0.6425671279430389,0.61
ViT,0,102,0.6091088520156013,0.6705,0.6428451612591743,0.608
ViT,0,103,0.6093221496021937,0.67,0.6422086134552956,0.608
ViT,0,104,0.6097802529259334,0.67,0.6424622759222984,0.612
ViT,0,105,0.6095202385433136,0.6715,0.641840111464262,0.612
ViT,0,106,0.6091964197537255,0.6695,0.6416392140090466,0.604
ViT,0,107,0.6091110621179853,0.672,0.6426873132586479,0.612
ViT,0,108,0.6080939968427023,0.67,0.6423888355493546,0.604
ViT,0,109,0.6085404261710152,0.669,0.64233073964715,0.608
ViT,0,110,0.6083560585975647,0.6685,0.6417644284665585,0.606
ViT,0,111,0.6082287544295901,0.6695,0.6414509937167168,0.604
ViT,0,112,0.6081271606778341,0.6695,0.6412277035415173,0.602
ViT,0,113,0.6082180397851127,0.6715,0.6410740092396736,0.608
ViT,0,114,0.6072786336853391,0.6695,0.6414691209793091,0.604
ViT,0,115,0.6072527482396081,0.6695,0.6413068771362305,0.608
ViT,0,116,0.6067080563969083,0.668,0.6423236764967442,0.604
ViT,0,117,0.6066699359152052,0.668,0.6419331580400467,0.608
ViT,0,118,0.6066784196429782,0.669,0.6417163014411926,0.608
ViT,0,119,0.6066815427371434,0.6685,0.6415931172668934,0.61
ViT,0,120,0.6063200528659518,0.669,0.641713947057724,0.608
ViT,0,121,0.6062944389524914,0.669,0.6415176391601562,0.606
ViT,0,122,0.6064102337473914,0.671,0.6412521786987782,0.606
ViT,0,123,0.606110692024231,0.6705,0.6412611231207848,0.608
ViT,0,124,0.6057516695961119,0.671,0.6414152905344963,0.61
ViT,0,125,0.6057772191744002,0.67,0.6410439573228359,0.61
ViT,0,126,0.6055227849218581,0.671,0.6408936716616154,0.61
